Last Name,First Name,Title,Salary,Representational Activities,Political Activities and Lobbying,Contributions,General Overhead,Administration
HOFFA,JAMESP,Gen President,383132,75,9,0,0,16
KEEGEL,CT,Gen Secty-T reas,335892,62,8,10,3,17
BOUVIER,ROBERT,Intl V ice President,216081,0,0,0,0,100
BUIE,FERLINE,Intl Trustee/Human Rghts,90720,25,25,0,0,50
CAMMACK,RANDY,Intl V ice Pres,108184,0,5,0,0,95
CIPRIANI,GIACOMOJ,Intl VP/T rade Div Dir,175654,73,7,0,0,20
COLI,JOHNT,Intl V ice President,97572,65,10,0,0,25
FLYNN,PATRICKW,Intl V ice Pres,121272,65,4,4,0,27
FRASER,THOMAS,Intl V ice Pres,89513,20,0,0,0,80
GALLEGOS,FRANKLINL,Intl Trustee,115053,0,0,0,0,100
GEGARE,FREDJ,Intl VP/Conf Dir,178665,50,0,0,0,50
HALL,RICHARDK,Intl VP/T rade Div Dir,165081,80,0,0,0,20
HAYNES,CARROLLE,Intl VP/T rade Div Dir,122775,0,0,0,0,100
HOBART,JA,Intl V ice Pres,118992,10,5,0,0,85
JOHNSON,CHERYL,Intl VP/Dept Dir,208809,0,15,25,0,60
JOHNSON,FORRESTT,Intl VP/T rade Div Dir,219839,50,0,0,0,50
KANESR.,DANIEL,Intl V ice Pres,93369,0,0,0,0,100
LYTLE,WALTERA,Intl VP/T rade Div Dir,177089,75,5,0,0,20
MACKIII,CHARLESD,Intl VP/T rade Div Dir,141619,60,25,0,5,10
McGILL,DON,Intl V ice Pres,86811,0,0,0,0,100
MURPHY,JOHN,Intl VP/Conf Dir,146019,70,5,0,0,25
PERRY,HENRYB,Intl Trustee,111799,0,10,0,0,90
POTTER,FRED,Intl V ice President,96958,5,5,0,0,90
SANTANGELO,JIM,Intl V ice Pres,109897,90,0,0,0,10
SIMPSON,FRED,Intl V ice Pres,98324,0,0,0,0,100
SWEETON,GORDON,Intl VP/Asst to Dir,191223,90,0,0,0,10
TEDESCHI,GEORGE,Intl V ice Pres,92172,0,0,0,0,100
WOOD,KEN,Intl V ice Pres,118481,75,7,0,0,18
