Last Name,First Name,Title,Salary,Representational Activities,Political Activities and Lobbying,Contributions,General Overhead,Administration
O'BRIEN,SEANM,GENERAL  PRESIDENT,350145,15,5,0,0,80
ZUCKERMAN,FRED,GENERAL  SECRET ARY-TREASUR,295910,45,5,0,0,50
ANDREWS,TONY,INTL  VP/TRADE DIV DIR,38239,75,0,0,0,25
AVELYN,DANIELW,INT'L  VP/CENTRAL  REGION C,80504,80,5,5,5,5
CALO,ROCCOJ,INTL  VP/TRADE DIV DIR,69098,85,0,0,0,15
CAMPOS,JUANC,INTL  VP/TRADE DIV DIR,71557,50,0,0,0,50
COREY,JOAN,INTERNA TIONAL  VP,68708,85,0,0,0,15
DAVISON,MARK,INTERNA TIONAL  VP,75567,75,0,0,0,25
DOUGHERTY,LINDSAYE,INTL  VP/TRADE DIV DIR,32884,30,10,0,20,40
ERICKSON,RICHARDT,INTERNA TIONAL  VP,73806,99,1,0,0,0
FINN,PETERL,INTL  VP/TRADE DIV DIR,70276,95,0,0,0,5
FLOYD,GREGORY,INTL  VP/ASST  DIV DIR,96398,5,15,5,15,60
FORD,WILLIE,INTERNA TIONAL  TRUSTEE,70148,40,0,0,0,60
FRISKY,WILLIAMM,INTERNA TIONAL  VP,20853,0,0,0,0,100
GRISWOLD,CHRIS,INTERNA TIONAL  VP,71383,50,0,0,0,50
HALL,RICHARDK,GEN SECTY -TREASURER,59259,75,1,0,9,15
HAMILTON,WILLIAM,INTL  VP/TRADE DIV DIR,173225,65,0,0,0,35
HENNESSY,STAN,INTERNA TIONAL  VP,78448,0,0,0,0,100
HERRERA,RONALD,INT'L  VP/TRADE DIV DIR,31865,0,1,0,0,99
HICKS,RICK,INTERNA TIONAL  VP,85907,48,0,0,0,52
HOFFA,JAMESP,GEN PRESIDENT,98310,55,20,0,0,25
JOHNSON,THORT,INTERNA TIONAL  VP,71358,80,0,0,0,20
JONES,CHARLESA,INTERNA TIONAL  VP,133524,0,0,0,0,100
KABELL,JIM,INTL  TRUSTEE,22274,0,0,0,0,100
KANEJR.,DANIELJ,INTERNA TIONAL  TRUSTEE,86340,20,0,0,0,80
KANESR.,DANIEL,INTERNA TIONAL  VP,47459,100,0,0,0,0
KOPYSTYNSKY,ROBERTJ,INT VP/FIELD REP,104392,0,0,0,0,100
LAPORTE,FRANCOIS,INTERNA TIONAL  VP,143449,5,5,1,9,80
MCINNES,CRAIG,INTERNA TIONAL  VP,75466,0,0,0,0,100
MIDDLETON,RICK,INTL  VP/TRADE DIV DIR,33555,90,0,0,0,10
MIRANDA,GEORGE,INTERNA TIONAL  VP,22017,5,0,0,0,95
MOORE,KEVIN,INT TRUSTEE/TRADE DIV DR,163779,70,5,0,0,25
MURPHY,JOHNF,INTL  VP/CONF DIR,51653,75,0,0,0,25
PALMER,JOHN,INTERNA TIONAL  VP,149969,90,0,0,0,10
PERRONE,VINCENT,INTERNA TIONAL  TRUSTEE,67496,85,1,1,6,7
POTTER,FRED,INTL  VP/INTL  REP,31188,80,0,0,0,20
SCHULTZ,KIMBERLYH,INTERNA TIONAL  VP,20846,0,0,0,0,100
SIMPSON,FRED,INTERNA TIONAL  VP,23602,7,1,0,87,5
TAIBI,MATTHEW,INTL  VP/TRADE DIV DIR,70700,70,0,0,0,30
TAYLOR,BRENT,INTERNA TIONAL  VP,71449,90,0,0,0,10
TAYLOR,DENIS,INT TRUSTEE/TRADE DIV DIR,42630,80,0,0,0,20
TEDESCHI,GEORGE,INTERNA TIONAL  VP,26267,30,0,0,60,10
THOMPSON,JAMESA,INTL  VP/TRADE DIV DIR,109650,95,0,0,0,5
VAIRMA,STEVEN,INTL  VP/TRADE DIV DIR,33538,88,2,0,0,10
WRIGHT,JAMES,INTERNA TIONAL  VP,70731,100,0,0,0,0
