Last Name,First Name,Title,Salary,Representational Activities,Political Activities and Lobbying,Contributions,General Overhead,Administration
HOFFA,JAMESP,GEN PRESIDENT,386344,60,15,0,0,25
HALL,RICHARDK,GEN SECTY -TREASURER,283276,75,1,0,9,15
ALOISE,ROMEA,INTL  VP/TRADE DIV DIR,207274,80,3,2,10,5
BUHLE,BRIANR,INTERNA TIONAL  VP,90150,50,0,0,0,50
BUIE,FERLINE,INT'L  VP/HUMAN RIGNTS COO,43608,10,0,0,0,90
COLI,JOHNT,INTL  VP/TRADE DIV DIR,153003,70,10,0,0,20
FLOYD,GREGORY,INTERNA TIONAL  VP,86389,5,15,5,15,60
HAMILTON,WILLIAM,INTL  VP/TRADE DIV DIR,99111,65,0,0,0,35
HENNESSY,STAN,INTERNA TIONAL  VP,64311,0,0,0,0,100
HERRERA,RONALD,INT'L  VP/TRADE DIV DIR,144473,0,1,0,0,99
JOHNSON,FORRESTT,INTL  VP/TRADE DIV DIR,231694,80,0,0,20,0
KABELL,JIM,INTL  TRUSTEE,96668,35,5,5,0,55
KANESR.,DANIEL,INTERNA TIONAL  VP,100815,0,0,0,0,100
LAPORTE,FRANCOIS,INTERNA TIONAL  VP,178756,2,1,1,6,90
MCINNES,CRAIG,INTERNA TIONAL  VP,62347,0,0,0,0,100
MIDDLETON,RICK,INTERNA TIONAL  VP,87582,75,7,3,5,10
MIRANDA,GEORGE,INTERNA TIONAL  VP,91427,10,0,0,0,90
MOORE,KEVIN,INT TRUSTEE/TRADE DIV DIR,138415,78,6,0,0,16
MURPHY,JOHNF,INTL  VP/CONF DIR,185369,73,0,0,0,27
O'BRIEN,SEAN,INTERNA TIONAL  VP,131075,30,0,5,5,60
POTTER,FRED,INTL  VP/TRADE DIV DIR,141069,80,0,0,0,20
SIMPSON,FRED,INTERNA TIONAL  VP,98441,21,3,0,0,76
STRZECHOWSKI,BECKYM,INTERNA TIONAL  VP,92266,0,0,0,0,100
SWEETON,GORDON,INTERNA TIONAL  VP,192708,90,0,0,0,10
TAYLOR,DENIS,INT TRUSTEE/TRADE DIV DIR,99885,20,0,0,0,80
TEDESCHI,GEORGE,INTERNA TIONAL  VP,98061,30,0,0,10,60
VAIRMA,STEVEN,INTL  VP/TRADE DIV DIR,147512,65,3,0,2,30
WOOD,KEN,INTERNA TIONAL  VP,138078,80,8,1,0,11
